slot_person_name,slot_giver_name,slot_purpose,slot_num_bills,slot_num_bills_abs_log1p,slot_num_bills_is_even,slot_num_bills_mod3,slot_num_bills_mod5,slot_num_bills_mod7,slot_num_bills_mod10,slot_bill_name,slot_bill_value_dollars,slot_bill_value_dollars_abs_log1p,slot_bill_value_dollars_is_even,slot_bill_value_dollars_mod3,slot_bill_value_dollars_mod5,slot_bill_value_dollars_mod7,slot_bill_value_dollars_mod10,slot_num_coins,slot_num_coins_abs_log1p,slot_num_coins_is_even,slot_num_coins_mod3,slot_num_coins_mod5,slot_num_coins_mod7,slot_num_coins_mod10,slot_coin_name,slot_coin_value_cents,slot_coin_value_cents_abs_log1p,slot_coin_value_cents_is_even,slot_coin_value_cents_mod3,slot_coin_value_cents_mod5,slot_coin_value_cents_mod7,slot_coin_value_cents_mod10,slot_frac_num,slot_frac_num_abs_log1p,slot_frac_num_is_even,slot_frac_num_mod3,slot_frac_num_mod5,slot_frac_num_mod7,slot_frac_num_mod10,slot_frac_den,slot_frac_den_abs_log1p,slot_frac_den_is_even,slot_frac_den_mod3,slot_frac_den_mod5,slot_frac_den_mod7,slot_frac_den_mod10,gcd_all,n_multiple_pairs,y
0,0,0,80,4.394449154672439,1,2,0,3,0,0,10,2.3978952727983707,1,1,0,3,0,97,4.584967478670572,0,1,2,6,7,0,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,4,604.85
1,1,0,20,3.044522437723423,1,2,0,6,0,1,1,0.6931471805599453,0,1,1,1,1,225,5.420534999272286,0,0,0,1,5,1,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,12,32.5
2,2,0,60,4.110873864173311,1,0,0,4,0,2,50,3.9318256327243257,1,2,0,1,0,49,3.912023005428146,0,1,4,0,9,2,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,10,1000.49
1,1,1,65,4.189654742026425,0,2,0,2,5,3,5,1.791759469228055,0,2,0,5,5,351,5.863631175598097,0,0,1,1,1,1,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,5,295.1
3,3,2,96,4.574710978503383,1,0,1,5,6,4,20,3.044522437723423,1,2,0,6,0,382,5.948034989180646,1,1,2,4,2,2,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,1,8,963.82
4,4,0,3,1.3862943611198906,0,0,3,3,3,4,20,3.044522437723423,1,2,0,6,0,321,5.7745515455444085,0,0,1,6,1,1,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,6,72.1
5,2,3,20,3.044522437723423,1,2,0,6,0,1,1,0.6931471805599453,0,1,1,1,1,34,3.5553480614894135,1,1,4,6,4,3,25,3.258096538021482,0,1,0,4,5,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,10,13.5
4,5,4,36,3.6109179126442243,1,0,1,1,6,2,50,3.9318256327243257,1,2,0,1,0,165,5.111987788356544,0,0,0,4,5,4,50,3.9318256327243257,1,2,0,1,0,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,1,3,1282.5
4,4,2,75,4.330733340286331,0,0,0,5,5,3,5,1.791759469228055,0,2,0,5,5,57,4.060443010546419,0,0,2,1,7,3,25,3.258096538021482,0,1,0,4,5,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,6,164.25
6,6,5,50,3.9318256327243257,1,2,0,1,0,5,100,4.61512051684126,1,1,0,2,0,298,5.700443573390687,1,1,3,4,8,3,25,3.258096538021482,0,1,0,4,5,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,11,1074.5
0,4,5,28,3.367295829986474,1,1,3,0,8,4,20,3.044522437723423,1,2,0,6,0,151,5.0238805208462765,0,1,1,4,1,4,50,3.9318256327243257,1,2,0,1,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,8,355.5
3,4,2,2,1.0986122886681098,1,2,2,2,2,1,1,0.6931471805599453,0,1,1,1,1,25,3.258096538021482,0,1,0,4,5,4,50,3.9318256327243257,1,2,0,1,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,13,13.5
1,3,3,10,2.3978952727983707,1,1,0,3,0,2,50,3.9318256327243257,1,2,0,1,0,25,3.258096538021482,0,1,0,4,5,3,25,3.258096538021482,0,1,0,4,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,11,256.25
7,0,2,8,2.1972245773362196,1,2,3,1,8,4,20,3.044522437723423,1,2,0,6,0,37,3.6375861597263857,0,1,2,2,7,1,10,2.3978952727983707,1,1,0,3,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1,7,83.7
7,1,0,8,2.1972245773362196,1,2,3,1,8,1,1,0.6931471805599453,0,1,1,1,1,220,5.3981627015177525,1,1,0,3,0,3,25,3.258096538021482,0,1,0,4,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,11,59.0
7,7,0,54,4.007333185232471,1,0,4,5,4,2,50,3.9318256327243257,1,2,0,1,0,312,5.746203190540153,1,0,2,4,2,3,25,3.258096538021482,0,1,0,4,5,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,8,978.0
3,5,1,56,4.04305126783455,1,2,1,0,6,0,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,0,6,0,1,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,1,5,422.0
