slot_total_qty,slot_total_qty_abs_log1p,slot_total_qty_is_even,slot_total_qty_mod3,slot_total_qty_mod5,slot_total_qty_mod7,slot_total_qty_mod10,slot_unit,slot_item,slot_price_per_unit,slot_price_per_unit_abs_log1p,slot_price_per_unit_frac,slot_price_per_unit_n_decimals,slot_currency_symbol,slot_buyer_name,slot_seller_name,slot_num,slot_num_abs_log1p,slot_num_is_even,slot_num_mod3,slot_num_mod5,slot_num_mod7,slot_num_mod10,slot_den,slot_den_abs_log1p,slot_den_is_even,slot_den_mod3,slot_den_mod5,slot_den_mod7,slot_den_mod10,gcd_all,n_multiple_pairs,y
1488,7.305860032684009,1,0,3,4,8,0,0,1.5,0.9162907318741551,0.5,1,0,0,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,3,1116.0
968,6.876264611890766,1,2,3,2,8,0,1,6.75,2.0476928433652555,0.75,2,1,1,1,2,1.0986122886681098,1,2,2,2,2,8,2.1972245773362196,1,2,3,1,8,2,3,1633.5
204,5.3230099791384085,1,0,4,1,4,0,0,7.0,2.0794415416798357,0.0,1,2,1,0,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,3,476.0
992,6.900730664045173,1,2,2,5,2,1,2,9.5,2.3513752571634776,0.5,1,1,0,2,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,3,2356.0
2562,7.848933726364071,1,0,2,0,2,1,1,0.75,0.5596157879354227,0.75,2,2,2,3,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,1,2,823.5
670,6.508769136971682,1,1,0,5,0,1,2,2.75,1.3217558399823195,0.75,2,2,1,2,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,1,1474.0
1184,7.077498053569231,1,2,4,1,4,0,3,5.75,1.9095425048844386,0.75,2,2,2,3,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,2,3,3404.0
1150,7.048386408721883,1,1,0,2,0,1,1,8.0,2.1972245773362196,0.0,1,1,1,0,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,1,3,1840.0
188,5.241747015059643,1,2,3,6,8,1,2,10.0,2.3978952727983707,0.0,1,1,2,3,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,3,940.0
2373,7.772331575169614,0,0,3,0,3,1,1,3.0,1.3862943611198906,0.0,1,2,1,0,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,1,3,1017.0
2808,7.940583827104244,1,0,3,1,8,0,0,6.75,2.0476928433652555,0.75,2,2,1,3,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,1,1,16584.75
875,6.775366090936392,0,2,0,0,5,0,2,1.0,0.6931471805599453,0.0,1,1,2,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,1,700.0
